Trial, Divers, PDCS Mild, PDCS Serious
30 371 1:00 Air 0 1:00 0 J, 1, 0.053312, 0.007375
30 380 0:20 Air 5 6:00 0.5 Z, 1, 0.053894, 0.007458
30 420 0:20 Air 22 23:00 0.5 Z, 1, 0.057522, 0.007978
30 480 0:20 Air 42 43:00 0.5, 1, 0.061993, 0.008622
30 540 0:20 Air 71 72:00 1, 1, 0.064379, 0.008967
30 600 0:20 Air 92 93:00 1, 1, 0.066567, 0.009284
30 660 0:20 Air 120 121:00 1, 1, 0.067563, 0.009428
30 720 0:20 Air 158 159:00 1, 1, 0.067463, 0.009414
35 232 1:10 Air 0 1:10 0 Z, 1, 0.044203, 0.006082
35 240 0:30 Air 4 5:10 0.5 Z, 1, 0.045569, 0.006275
35 270 0:30 Air 28 29:10 0.5 Z, 1, 0.050783, 0.007015
35 300 0:30 Air 53 54:10 0.5 Z, 1, 0.054764, 0.007583
35 330 0:30 Air 71 72:10 1 Z, 1, 0.058281, 0.008087
35 360 0:30 Air 88 89:10 1, 1, 0.061215, 0.008509
35 420 0:30 Air 134 135:10 1.5, 1, 0.064537, 0.008989
35 480 0:30 Air 173 174:10 1.5, 1, 0.067012, 0.009348
35 540 0:30 Air 228 229:10 2, 1, 0.067470, 0.009415
35 600 0:30 Air 277 278:10 2, 1, 0.067951, 0.009485
35 660 0:30 Air 314 315:10 2.5, 1, 0.068764, 0.009603
35 720 0:30 Air 342 343:10 3, 1, 0.069712, 0.009741
40 163 1:20 Air 0 1:20 0 O, 1, 0.036569, 0.005009
40 170 0:40 Air 6 7:20 0.5 O, 1, 0.038198, 0.005237
40 180 0:40 Air 14 15:20 0.5 Z, 1, 0.041102, 0.005645
40 190 0:40 Air 21 22:20 0.5 Z, 1, 0.043913, 0.006041
40 200 0:40 Air 27 28:20 0.5 Z, 1, 0.046608, 0.006422
40 210 0:40 Air 39 40:20 0.5 Z, 1, 0.048790, 0.006731
40 220 0:40 Air 52 53:20 0.5 Z, 1, 0.050662, 0.006998
40 230 0:40 Air 64 65:20 1 Z, 1, 0.052374, 0.007241
40 240 0:40 Air 75 76:20 1 Z, 1, 0.053957, 0.007468
40 270 0:40 Air 101 102:20 1 Z, 1, 0.058416, 0.008107
40 300 0:40 Air 128 129:20 1.5, 1, 0.061862, 0.008603
40 330 0:40 Air 160 161:20 1.5, 1, 0.064100, 0.008926
40 360 0:40 Air 184 185:20 2, 1, 0.066391, 0.009258
40 420 0:40 Air 248 249:20 2.5, 1, 0.068449, 0.009557
40 480 0:40 Air 321 322:20 2.5, 1, 0.069098, 0.009652
40 540 0:40 Air 372 373:20 3, 1, 0.070441, 0.009847
40 600 0:40 Air 410 411:20 3.5, 1, 0.071870, 0.010056
40 660 0:40 Air 439 440:20 4, 1, 0.073246, 0.010257
40 720 0:40 Air 461 462:20 4.5, 1, 0.074545, 0.010448
45 125 1:30 Air 0 1:30 0 N, 1, 0.031765, 0.004338
45 130 0:50 Air 2 3:30 0.5 O, 1, 0.033342, 0.004558
45 140 0:50 Air 14 15:30 0.5 O, 1, 0.036773, 0.005037
45 150 0:50 Air 25 26:30 0.5 Z, 1, 0.040299, 0.005532
45 160 0:50 Air 34 35:30 0.5 Z, 1, 0.043664, 0.006006
45 170 0:50 Air 41 42:30 1 Z, 1, 0.046909, 0.006465
45 180 0:50 Air 59 60:30 1 Z, 1, 0.049266, 0.006799
45 190 0:50 Air 75 76:30 1 Z, 1, 0.051391, 0.007101
45 200 0:50 Air 89 90:30 1 Z, 1, 0.053357, 0.007382
45 210 0:50 Air 101 102:30 1 Z, 1, 0.055284, 0.007657
45 220 0:50 Air 112 113:30 1.5 Z, 1, 0.057134, 0.007922
45 230 0:50 Air 121 122:30 1.5 Z, 1, 0.059003, 0.008191
45 240 0:50 Air 130 131:30 1.5 Z, 1, 0.060737, 0.008441
45 270 0:50 Air 173 174:30 2, 1, 0.063794, 0.008882
45 300 0:50 Air 206 207:30 2, 1, 0.066746, 0.009310
45 330 0:50 Air 243 244:30 2.5, 1, 0.068678, 0.009591
45 360 0:50 Air 288 289:30 3, 1, 0.069592, 0.009724
45 420 0:50 Air 373 374:30 3.5, 1, 0.071155, 0.009951
45 480 0:50 Air 431 432:30 4, 1, 0.073401, 0.010280
45 540 0:50 Air 473 474:30 4.5, 1, 0.075601, 0.010603
50 92 1:40 Air 0 1:40 0 M, 1, 0.024945, 0.003393
50 95 1:00 Air 2 3:40 0.5 M, 1, 0.025795, 0.003511
50 100 1:00 Air 4 5:40 0.5 N, 1, 0.027647, 0.003767
50 110 1:00 Air 8 9:40 0.5 O, 1, 0.031864, 0.004352
50 120 1:00 Air 21 22:40 0.5 O, 1, 0.036170, 0.004953
50 130 1:00 Air 34 35:40 0.5 Z, 1, 0.040271, 0.005528
50 140 1:00 Air 45 46:40 1 Z, 1, 0.044146, 0.006074
